Epoch,TrainLoss,TrainAcc,ValLoss,ValAcc,Precision,Recall,F1
1,0.310999988763592,0.8360450563204005,0.11516747951507568,0.96,0.9620844848006317,0.96,0.9605514258683605
2,0.09402080899447166,0.9624530663329162,0.0662546297814697,0.98,0.9805460197323963,0.98,0.980142543859649
3,0.07110907311302998,0.9712140175219024,0.053961920347064735,0.985,0.9851754385964913,0.985,0.9850543572044866
4,0.04494041076701633,0.9799749687108886,0.04944163360632956,0.98,0.9805460197323963,0.98,0.980142543859649
5,0.05959946309036816,0.9787234042553191,0.05314579259022139,0.99,0.99,0.99,0.99
6,0.034166075199788835,0.9899874843554443,0.0498201765329577,0.985,0.9851754385964913,0.985,0.9850543572044866
7,0.022523429270691526,0.9912390488110138,0.05332576072658412,0.99,0.99,0.99,0.99
8,0.014885437342621507,0.9949937421777222,0.055221004061604614,0.99,0.99,0.99,0.99
9,0.011820942043409553,0.9974968710888611,0.05027598866392509,0.99,0.99,0.99,0.99
10,0.019258903157852125,0.9912390488110138,0.05364444033053587,0.99,0.99,0.99,0.99
